checkout_event_id,order_id,user_id,event_type,event_date
chk_0000001,order_000005,user_00002,checkout_start,2026-01-13 00:00:00
chk_0000002,order_000005,user_00002,checkout_abandon,2026-01-13 00:02:00
chk_0000003,order_000006,user_00002,checkout_start,2026-01-01 00:00:00
chk_0000004,order_000006,user_00002,checkout_success,2026-01-01 00:03:00
chk_0000005,order_000007,user_00002,checkout_start,2025-11-10 00:00:00
chk_0000006,order_000007,user_00002,checkout_success,2025-11-10 00:03:00
chk_0000007,order_000008,user_00003,checkout_start,2025-12-06 00:00:00
chk_0000008,order_000008,user_00003,checkout_success,2025-12-06 00:03:00
chk_0000009,order_000009,user_00003,checkout_start,2025-11-14 00:00:00
chk_0000010,order_000009,user_00003,checkout_abandon,2025-11-14 00:02:00
chk_0000011,order_000010,user_00003,checkout_start,2025-12-14 00:00:00
chk_0000012,order_000010,user_00003,checkout_success,2025-12-14 00:03:00
chk_0000013,order_000011,user_00004,checkout_start,2025-12-16 00:00:00
chk_0000014,order_000011,user_00004,checkout_success,2025-12-16 00:03:00
chk_0000015,order_000012,user_00004,checkout_start,2025-10-16 00:00:00
chk_0000016,order_000012,user_00004,checkout_success,2025-10-16 00:03:00
chk_0000017,order_000013,user_00004,checkout_start,2025-11-06 00:00:00
chk_0000018,order_000013,user_00004,checkout_success,2025-11-06 00:03:00
chk_0000019,order_000014,user_00004,checkout_start,2025-12-05 00:00:00
chk_0000020,order_000014,user_00004,checkout_success,2025-12-05 00:03:00
chk_0000021,order_000015,user_00005,checkout_start,2026-02-25 00:00:00
chk_0000022,order_000015,user_00005,checkout_abandon,2026-02-25 00:02:00
chk_0000023,order_000016,user_00006,checkout_start,2025-11-26 00:00:00
chk_0000024,order_000016,user_00006,checkout_success,2025-11-26 00:03:00
chk_0000025,order_000017,user_00006,checkout_start,2025-12-10 00:00:00
chk_0000026,order_000017,user_00006,checkout_success,2025-12-10 00:03:00
chk_0000027,order_000018,user_00006,checkout_start,2025-12-25 00:00:00
chk_0000028,order_000018,user_00006,checkout_success,2025-12-25 00:03:00
chk_0000029,order_000019,user_00006,checkout_start,2025-11-18 00:00:00
chk_0000030,order_000019,user_00006,checkout_success,2025-11-18 00:03:00
chk_0000031,order_000020,user_00006,checkout_start,2025-12-04 00:00:00
chk_0000032,order_000020,user_00006,checkout_success,2025-12-04 00:03:00
chk_0000033,order_000021,user_00007,checkout_start,2026-02-26 00:00:00
chk_0000034,order_000021,user_00007,checkout_success,2026-02-26 00:03:00
chk_0000035,order_000022,user_00007,checkout_start,2026-02-22 00:00:00
chk_0000036,order_000022,user_00007,checkout_success,2026-02-22 00:03:00
chk_0000037,order_000023,user_00007,checkout_start,2026-02-04 00:00:00
chk_0000038,order_000023,user_00007,checkout_success,2026-02-04 00:03:00
chk_0000039,order_000024,user_00008,checkout_start,2026-01-14 00:00:00
chk_0000040,order_000024,user_00008,checkout_success,2026-01-14 00:03:00
chk_0000041,order_000025,user_00008,checkout_start,2025-12-30 00:00:00
chk_0000042,order_000025,user_00008,checkout_abandon,2025-12-30 00:02:00
chk_0000043,order_000026,user_00008,checkout_start,2025-11-13 00:00:00
chk_0000044,order_000026,user_00008,checkout_success,2025-11-13 00:03:00
chk_0000045,order_000027,user_00008,checkout_start,2025-11-12 00:00:00
chk_0000046,order_000027,user_00008,checkout_success,2025-11-12 00:03:00
chk_0000047,order_000028,user_00009,checkout_start,2025-12-11 00:00:00
